Key,Text
landing_heading,NDSU Campus Arboretum
landing_datasheet_link,About this Plant
landing_start_quiz,Can You Identify Me?
landing_homepage_link,See More Plants
landing_languages,Change Language
welcome_heading,Welcome to the NDSU Woody Plant Quiz!
welcome_text,This quiz was developed to help teach you how to identify key features on woody plants. Click on each feature of the tree to practice your identification skills then submit your answer.
welcome_action,Continue
quiz_main_heading,Can You Identify Me?
quiz_seasonal_heading,Can you see one of these features?
quiz_seasonal_close,I don't see any of these
quiz_main_continue,I Know It!
quiz_identify_heading,What Plant am I?
quiz_identify_submit,Submit
answer_synonym_joiner,","
answer_final_synonym_joiner,and
result_synonym_heading,Also known as:
progress_title,Trees found:
progress_out_of,/
,
tree_type_deciduous,deciduous
tree_type_coniferous,coniferous
,
*** LANGUAGE SUPPORT ***,
language_choice_en,English
language_choice_es,Spanish
language_choice_cmn,Mandarin


